number,date,location,business,types,qualification
1,10401,烏來區,台車棧溫泉民宿山莊,家庭池,合格
2,10401,烏來區,鶴雅溫泉會館,家庭池,合格
3,10401,烏來區,湯布苑溫泉館,家庭池,合格
4,10401,烏來區,情人溫泉民宿,家庭池,合格
5,10401,烏來區,阿信溫泉,家庭池,合格
6,10401,烏來區,長青溫泉民宿,家庭池,合格
7,10401,烏來區,雅境休閒小館,家庭池,合格
8,10401,烏來區,雲之湯溫泉會館,家庭池,合格
9,10401,烏來區,伊豆溫泉會館,家庭池,合格
10,10401,烏來區,花悅溫泉會館,家庭池,合格
11,10401,烏來區,美人湯溫泉會館股份有限公司,家庭池,合格
12,10401,烏來區,雲頂溫泉行館,家庭池,合格
13,10401,烏來區,三好米溫泉會館有限公司,家庭池,合格
14,10401,烏來區,雲景溫泉渡假山莊,家庭池,合格
15,10401,烏來區,達利溫泉會館,家庭池,合格
16,10401,烏來區,那魯灣溫泉飯店,家庭池,合格
17,10401,烏來區,山水妍溫泉會館,家庭池,合格
18,10401,烏來區,泉世界溫泉會館,家庭池,合格
19,10401,烏來區,可米花園溫泉汽車會館,家庭池,合格
20,10401,烏來區,湯館溫泉,家庭池,合格
21,10401,烏來區,慈云溫泉會館,家庭池,合格
22,10401,烏來區,艾瑪仕旅店,家庭池,合格
23,10401,萬里區,三金庚子坪休閒旅館,方型池,合格
24,10401,萬里區,緹閣小吃店,男湯,合格
25,10401,萬里區,沐舍溫泉渡假酒店,湯屋,合格
26,10401,萬里區,太福育樂股份有限公司,男三溫暖,合格
27,10401,萬里區,愛琴海太平洋海灣會館,男湯,合格
28,10401,萬里區,香草花源溫泉養生館,湯屋,合格
29,10401,萬里區,金湯溫泉會館,湯屋,合格
30,10401,萬里區,沐川溫泉,湯屋,合格
31,10401,萬里區,火山浴硫磺溫泉會館,湯屋,合格
32,10401,萬里區,金湧泉溫泉汽車旅館,湯屋,合格
33,10401,萬里區,金湧泉SPA溫泉會館,湧泉池,合格
34,10401,萬里區,萬里仙境溫泉會館,湯屋,合格
35,10401,萬里區,硫磺泉汽車旅館,湯屋,合格
36,10401,萬里區,水田園SPA溫泉農莊,湯屋,合格
37,10401,萬里區,萬金溫泉會館,湯屋,合格
38,10401,萬里區,小坂溫泉浴室,湯屋,合格
39,10401,萬里區,金山青年活動中心,瀑布池,合格
40,10401,萬里區,舊金山總督溫泉,大眾池,合格
41,10401,萬里區,金山海灣溫泉旅館分公司,湯屋,合格
42,10401,萬里區,湯語雙泉會館,女湯,合格
43,10401,萬里區,奇峰石溫泉山莊,男湯,合格
44,10401,萬里區,陽明山水溫泉會館,大眾池,合格
45,10401,萬里區,八煙溫泉會館,女湯,合格
46,10401,萬里區,綠峰渡假山莊,男湯,合格
47,10401,萬里區,楓月小集,湯屋,合格
48,10401,萬里區,風之庭,湯屋,合格
49,10401,萬里區,天一方溫泉,湯屋,合格
50,10401,萬里區,和昇會館,湯屋,合格
51,10401,萬里區,陽明山天籟渡假酒店,女湯,合格
52,10401,淡水區,福容大飯店股份有限公司淡水分公司,女湯,合格
53,10401,淡水區,海中天溫泉飯店,SPA池,合格
54,10401,八里區,八仙詩泊溫旅,高溫池,合格
55,10401,三重區,名人三溫暖,溫泉池,合格
56,10401,烏來區,相根苑溫泉會館,家庭池,合格
57,10401,烏來區,御溫泉養生會館,家庭池,合格
58,10401,烏來區,日月光溫泉山莊,家庭池,合格
59,10401,烏來區,巨龍山莊,家庭池,合格
60,10401,烏來區,堤畔溫泉民宿,家庭池,合格
61,10401,烏來區,璞石麗緻溫泉會館,家庭池,合格
62,10401,烏來區,山之川溫泉會館,家庭池,合格
63,10401,烏來區,馥蘭朵烏來渡假酒店,家庭池,合格
64,10401,烏來區,答故溫泉,家庭池,合格
65,10401,烏來區,烏來名湯溫泉會館,家庭池,合格
66,10401,烏來區,天池溫泉,家庭池,合格
67,10401,烏來區,揚悅溫泉會館,家庭池,合格
68,10401,烏來區,烏來大飯店,家庭池,合格
69,10401,烏來區,明月溫泉會館,家庭池,合格
70,10401,烏來區,國際岩湯,家庭池,合格
71,10401,烏來區,小川源溫泉館,家庭池,合格
72,10401,烏來區,雲之東風國際有限公司,家庭池,合格
73,10401,烏來區,雙鹿溫泉,家庭池,合格
74,10401,烏來區,湯緣溫泉館,家庭池,合格
75,10401,烏來區,碧山閣飯店,家庭池,合格
76,10401,新店區,花漾水舞溫泉會館,家庭池,合格
77,10401,新店區,碧逸溫泉會館,家庭池,合格
78,10401,新店區,矽谷溫泉會館,個人池,合格
79,10401,三峽區,臺北三峽福容大飯店,溫泉池,合格
80,10401,萬里區,太福育樂股份有限公司,女三溫暖,合格
81,10401,土城區,有馬溫泉旅館,溫泉池,合格
82,10401,烏來區,揚悅溫泉會館,家庭池,合格
83,10401,烏來區,烏來大飯店,家庭池,合格
84,10401,烏來區,碧山閣飯店,家庭池,合格
85,10401,烏來區,秀山飯店,家庭池,合格
86,10401,烏來區,明月溫泉會館,家庭池,合格
87,10401,烏來區,國際岩湯,家庭池,合格
88,10401,烏來區,小川源溫泉館,家庭池,合格
89,10401,烏來區,雲之東風國際有限公司,家庭池,合格
90,10401,烏來區,雙鹿溫泉,家庭池,合格
91,10401,烏來區,湯緣溫泉館,家庭池,合格
92,10401,烏來區,箱根苑溫泉會館,家庭池,合格
93,10401,烏來區,御溫泉養生會館,家庭池,合格
94,10401,烏來區,日月光溫泉山莊,家庭池,合格
95,10401,烏來區,巨龍山莊,家庭池,合格
96,10401,烏來區,堤畔溫泉民宿,家庭池,合格
97,10401,烏來區,璞石麗緻溫泉會館,家庭池,合格
98,10401,烏來區,山之川溫泉會館,家庭池,合格
99,10401,烏來區,馥蘭朵渡假酒店,家庭池,合格
100,10401,烏來區,答故溫泉,家庭池,合格
101,10401,烏來區,烏來名湯溫泉會館,家庭池,合格
102,10401,烏來區,天池溫泉,家庭池,合格
103,10401,新店區,花漾水舞溫泉會館,家庭池,合格
104,10401,新店區,碧逸溫泉會館,家庭池,合格
105,10401,淡水區,福容大飯店股份有限公司淡水分公司,女湯,合格
106,10401,淡水區,海中天溫泉飯店,熱溫泉池,合格
107,10401,烏來區,鶴雅溫泉會館,家庭池,合格
108,10401,烏來區,湯布苑溫泉館,家庭池,合格
109,10401,烏來區,龍門溫泉民宿,家庭池,合格
110,10401,烏來區,情人溫泉民宿,家庭池,合格
111,10401,烏來區,長青溫泉民宿,家庭池,合格
112,10401,烏來區,雅境休閒小館,家庭池,合格
113,10401,烏來區,雲湯溫泉會館,家庭池,合格
114,10401,烏來區,伊豆溫泉會館,家庭池,合格
115,10401,烏來區,花悅溫泉會館,家庭池,合格
116,10401,烏來區,美人湯溫泉會館股份有限公司,家庭池,合格
117,10401,烏來區,雲頂溫泉行館,家庭池,合格
118,10401,烏來區,三好米溫泉會館有限公司,家庭池,合格
119,10401,烏來區,雲景溫泉渡假山莊,家庭池,合格
120,10401,烏來區,泰雅達利溫泉會館,家庭池,合格
121,10401,烏來區,那魯灣溫泉飯店,家庭池,合格
122,10401,烏來區,拉結之都,家庭池,合格
123,10401,烏來區,大山溫泉民宿,家庭池,合格
124,10401,烏來區,山水妍溫泉館,家庭池,合格
125,10401,烏來區,泉世界溫泉會館,家庭池,合格
126,10401,烏來區,湯館溫泉,家庭池,合格
127,10401,烏來區,富米有景觀溫泉館,家庭池,合格
128,10401,烏來區,艾瑪仕飯店,家庭池,合格
129,10401,萬里區,香草花源溫泉養生館,湯屋,合格
130,10401,萬里區,金湯溫泉會館,湯屋,合格
131,10401,萬里區,沐川溫泉,湯屋,合格
132,10401,萬里區,火山浴硫磺溫泉會館,湯屋,合格
133,10401,萬里區,金湧泉溫泉汽車旅館,湯屋,合格
134,10401,萬里區,金湧泉SPA溫泉會館,湧泉池,合格
135,10401,萬里區,萬里仙境溫泉會館,湯屋,合格
136,10401,萬里區,硫磺泉汽車旅館,湯屋,合格
137,10401,萬里區,水田園SPA溫泉農莊,湯屋,合格
138,10401,萬里區,萬金溫泉會館,湯屋,合格
139,10401,萬里區,沐舍溫泉渡假酒店,大眾池,合格
140,10401,萬里區,三金庚子坪休閒旅館,大眾池,合格
141,10401,萬里區,緹閣小吃店,湯屋,合格
142,10401,金山區,金山青年活動中心,高溫漩渦池,合格
143,10401,金山區,舊金山總督溫泉,大眾池,合格
144,10401,金山區,奇峰石溫泉山莊,女湯,合格
145,10401,金山區,陽明山水溫泉會館,超音波池,合格
146,10401,金山區,湯語雙泉會館,女湯,合格
147,10401,金山區,綠峰渡假山莊,女湯,合格
148,10401,金山區,楓月小集,湯屋,合格
149,10401,金山區,風之庭,湯屋,合格
150,10401,金山區,天一方溫泉,湯屋,合格
151,10401,金山區,和昇會館,湯屋,合格
152,10401,金山區,陽明山天籟溫泉會館,女裸湯三溫暖,合格
153,10401,淡水區,金湯川溫泉汽車旅館,湯屋,合格
154,10401,八里區,八仙詩泊溫旅,高溫池,合格
155,10401,萬里區,小坂溫泉浴室,湯屋,合格
156,10401,萬里區,太福育樂股份有限公司,女裸湯三溫暖,合格
157,10401,萬里區,太平洋海灣會館,男湯,合格
158,10401,三峽區,大板根森林溫泉渡假村,個人池,合格
159,10401,三峽區,臺北三峽福容大飯店,溫泉池,合格
160,10401,金山區,金山海灣溫泉旅館分公司,湯屋,合格
161,10401,新店區,矽谷溫泉會館,個人池,合格
162,10401,三重區,名人三溫暖,SPA池,合格
163,10401,土城區,有馬溫泉旅館,溫泉池,合格
164,10402,烏來區,雲頂溫泉行館,家庭池,合格
165,10402,烏來區,三好米溫泉會館有限公司,家庭池,合格
166,10402,烏來區,雲景溫泉渡假山莊,家庭池,合格
167,10402,烏來區,美人湯溫泉會館股份有限公司,家庭池,合格
168,10402,烏來區,泰雅達利溫泉會館,家庭池,合格
169,10402,烏來區,那魯灣溫泉飯店,家庭池,合格
170,10402,烏來區,拉結之都,家庭池,合格
171,10402,烏來區,大山溫泉民宿,家庭池,合格
172,10402,烏來區,泉世界溫泉會館,家庭池,合格
173,10402,烏來區,可米花園溫泉汽車會館,家庭池,合格
174,10402,烏來區,湯館溫泉,家庭池,合格
175,10402,烏來區,慈云溫泉會館,家庭池,合格
176,10402,烏來區,艾瑪仕旅店,家庭池,合格
177,10402,烏來區,台車棧溫泉民宿山莊,家庭池,合格
178,10402,烏來區,鶴雅溫泉會館,家庭池,合格
179,10402,烏來區,湯布苑溫泉館,家庭池,合格
180,10402,烏來區,情人溫泉民宿,家庭池,合格
181,10402,烏來區,阿信溫泉,家庭池,合格
182,10402,烏來區,長青溫泉民宿,家庭池,合格
183,10402,烏來區,雅境休閒小館,家庭池,合格
184,10402,烏來區,雲之湯溫泉會館,家庭池,合格
185,10402,烏來區,伊豆溫泉會館,家庭池,合格
186,10402,烏來區,花悅溫泉會館,家庭池,合格
187,10402,萬里區,香草花源溫泉養生館,湯屋,合格
188,10402,萬里區,金湧泉SPA溫泉會館,湧泉池,合格
189,10402,萬里區,萬里仙境溫泉會館,湯屋,合格
190,10402,萬里區,沐舍溫泉渡假酒店,湯屋,合格
191,10402,萬里區,沐川溫泉,湯屋,合格
192,10402,萬里區,火山浴硫磺溫泉會館,湯屋,合格
193,10402,萬里區,金湯溫泉會館,湯屋,合格
194,10402,萬里區,小坂溫泉浴室,湯屋,合格
195,10402,萬里區,金湧泉溫泉汽車旅館,湯屋,合格
196,10402,萬里區,硫磺泉汽車旅館,湯屋,合格
197,10402,萬里區,水田園SPA溫泉農莊,湯屋,合格
198,10402,萬里區,萬金溫泉會館,湯屋,合格
199,10402,淡水區,福容大飯店股份有限公司淡水分公司,湯屋,合格
200,10402,淡水區,金湯川溫泉汽車旅館,湯屋,合格
201,10402,淡水區,福容大飯店淡水漁人碼頭,女湯,合格
202,10402,淡水區,海中天溫泉飯店,SPA池,合格
203,10402,八里區,八仙詩泊溫旅,高溫池,合格
204,10402,烏來區,龍門溫泉民宿,家庭池,合格
205,10402,烏來區,揚悅溫泉會館,家庭池,合格
206,10402,烏來區,烏來大飯店,家庭池,合格
207,10402,烏來區,明月溫泉會館,家庭池,合格
208,10402,烏來區,國際岩湯,家庭池,合格
209,10402,烏來區,小川源溫泉館,家庭池,合格
210,10402,烏來區,雲之東風溫泉會館,家庭池,合格
211,10402,烏來區,雙鹿溫泉,家庭池,合格
212,10402,烏來區,湯緣溫泉館,家庭池,合格
213,10402,烏來區,大山溫泉民宿,家庭池,合格
214,10402,烏來區,箱根苑溫泉會館,家庭池,合格
215,10402,烏來區,御溫泉養生會館,家庭池,合格
216,10402,烏來區,日月光溫泉山莊,家庭池,合格
217,10402,烏來區,巨龍山莊,家庭池,合格
218,10402,烏來區,堤畔溫泉民宿,家庭池,合格
219,10402,烏來區,璞石麗緻溫泉會館,家庭池,合格
220,10402,烏來區,山之川溫泉會館,家庭池,合格
221,10402,烏來區,馥蘭朵渡假酒店,家庭池,合格
222,10402,烏來區,答故溫泉,家庭池,合格
223,10402,烏來區,烏來名湯溫泉會館,家庭池,合格
224,10402,烏來區,天池溫泉,家庭池,合格
225,10402,烏來區,拉結之都,家庭池,不合格
226,10402,金山區,湯語雙泉會館,男湯,合格
227,10402,金山區,綠峰渡假山莊,男湯,合格
228,10402,金山區,楓月小集,湯屋,合格
229,10402,金山區,風之庭,湯屋,合格
230,10402,金山區,天一方溫泉,湯屋,合格
231,10402,金山區,和昇會館,湯屋,合格
232,10402,金山區,陽明山天籟溫泉會館,男三溫暖,合格
233,10402,金山區,金山青年活動中心,高溫漩渦池,合格
234,10402,金山區,舊金山總督溫泉,大眾池,合格
235,10402,金山區,金山海灣溫泉旅館分公司,大眾池,合格
236,10402,金山區,金山海灣溫泉旅館分公司,湯屋,合格
237,10402,金山區,奇峰石溫泉山莊,男湯,合格
238,10402,金山區,陽明山水溫泉會館,超音波池,合格
239,10402,萬里區,三金庚子坪休閒旅館,方型大眾池,合格
240,10402,萬里區,緹閣小吃店,湯屋,合格
241,10402,萬里區,太平洋海灣會館,男湯,合格
242,10402,萬里區,太福育樂股份有限公司,女三溫暖,合格
243,10402,淡水區,福容大飯店淡水漁人碼頭,男湯,合格
244,10402,淡水區,金湯川溫泉汽車旅館,湯屋,合格
245,10402,新店區,花漾水舞溫泉會館,家庭池,合格
246,10402,新店區,碧逸溫泉會館,家庭池,合格
247,10402,三峽區,臺北三峽福容大飯店,溫泉池,合格
248,10402,三峽區,大板根森林溫泉渡假村,個人池,合格
249,10402,三峽區,大板根森林溫泉渡假村,戶外溫水池,合格
250,10402,土城區,有馬溫泉旅館,溫泉池,合格
251,10402,三重區,名人三溫暖,溫泉池,合格
252,10403,八里區,八仙詩泊溫旅,高溫池,合格
253,10403,金山區,湯語雙泉會館,男湯,合格
254,10403,金山區,奇峰石溫泉山莊,男湯,合格
255,10403,金山區,陽明山水會館,高溫泉,合格
256,10403,金山區,八煙溫泉會館,湯屋,合格
257,10403,金山區,八煙溫泉會館,湯屋,合格
258,10403,金山區,舊金山總督溫泉,湯屋,合格
259,10403,金山區,舊金山總督溫泉,高溫池,合格
260,10403,金山區,金山青年活動中心,瀑布池,合格
261,10403,淡水區,金湯川溫泉旅館,湯屋,合格
262,10403,淡水區,福容大飯店淡水漁人碼頭,女湯,合格
263,10403,烏來區,那魯灣溫泉飯店(烏來泰雅有限公司),家庭池,合格
264,10403,烏來區,可米花園溫泉汽車會館(可米花園國際(股)公司,家庭池,不合格
265,10403,烏來區,慈云溫泉會館,家庭池,合格
266,10403,萬里區,太平洋海灣會館,女湯,合格
267,10403,萬里區,香草花源溫泉養生館,湯屋,合格
268,10403,萬里區,金湯溫泉會館,湯屋,合格
269,10403,萬里區,沐川溫泉,湯屋,合格
270,10403,萬里區,火山浴硫磺溫泉會館,湯屋,合格
271,10403,萬里區,金湧泉溫泉汽車旅館,湯屋,合格
272,10403,萬里區,金湧泉SPA溫泉會館,湧泉池,合格
273,10403,萬里區,金湧泉SPA溫泉會館,水療池,合格
274,10403,萬里區,萬里仙境溫泉會館,湯屋,合格
275,10403,萬里區,沐舍溫泉渡假酒店,湯屋,合格
276,10403,萬里區,小坂溫泉浴室,湯屋,合格
277,10403,三峽區,大板根森林溫泉渡假村,個人池,合格
278,10403,烏來區,台車棧溫泉民宿,家庭池,合格
279,10403,烏來區,湯布苑溫泉館,家庭池,合格
280,10403,烏來區,鶴雅溫泉會館,家庭池,合格
281,10403,烏來區,龍門溫泉民宿,家庭池,合格
282,10403,烏來區,情人溫泉民宿,家庭池,合格
283,10403,烏來區,阿信溫泉,家庭池,合格
284,10403,烏來區,長青溫泉民宿,家庭池,合格
285,10403,烏來區,雅境休閒小館(51溫泉會館),家庭池,合格
286,10403,烏來區,雲之湯溫泉會館,家庭池,合格
287,10403,烏來區,伊豆溫泉會館,家庭池,合格
288,10403,烏來區,花悅溫泉會館,家庭池,合格
289,10403,烏來區,拉結之都,家庭池,合格
290,10403,烏來區,拉結之都,家庭池,合格
291,10403,烏來區,山水妍溫泉會館,家庭池,合格
292,10403,烏來區,山水妍溫泉會館,家庭池,合格
293,10403,烏來區,明月溫泉會館(日明光溫泉休閒育樂有限公司),家庭池,合格
294,10403,淡水區,海中天溫泉飯店(海中天育樂開發股份有限公司),SPA池,合格
295,10403,淡水區,福容溫泉會館(福容大飯店股份有限公司淡水分公司),女湯,合格
296,10403,新店區,矽谷溫泉會館,個人池,合格
297,10403,新店區,矽谷溫泉會館,個人池,合格
298,10403,萬里區,太福育樂股份有限公司,男大眾池,合格
299,10403,萬里區,緹閣休閒溫泉會館,湯屋,合格
300,10403,萬里區,硫磺泉汽車旅館,湯屋,合格
301,10403,萬里區,水田園SPA溫泉農莊,湯屋,合格
302,10403,萬里區,萬金溫泉會館,湯屋,合格
303,10403,萬里區,三金庚子坪休閒旅館,大眾池,合格
304,10404,烏來區,秀山飯店,家庭池,合格
305,10404,三峽區,台北三峽福容大飯店(三鶯分公司),男三溫暖,合格
306,10404,金山區,綠峰渡假山莊,男湯,合格
307,10404,金山區,風之庭,湯屋,合格
308,10404,金山區,楓月小集,湯屋,合格
